[2025-12-28 04:55:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:55:39] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:55:39] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:55:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:55:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:04] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:05] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:17] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:21] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 04:56:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:03:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:03:49] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:16] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:04:56] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:05:06] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:05:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:30:02] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:30:23] toggle_play_pause called | allow_video_detach=False | detached=False
